LC Class,Title,Date triggered,Subject,In Print in USC Collection?
PR3069.R6 C47 2011,The Myth of Rome in Shakespeare and his Contemporaries,2018-05-11,Literature,X
PR6019.O53 .D559 2017,"David Jones : Engraver, Soldier, Painter, Poet",2018-05-03,Literature,
PR6068.O93 Z853 2012eb,The Subversive Harry Potter : Adolescent Rebellion and Containment in the J. K. Rowling Novels,2018-05-09,Literature,X
PS153.N5 B214 2011eb,African-American Writers : Revised Edition,2018-05-02,Literature,X
PS3603.O4558 Z84 2012eb,"Of Bread, Blood and the Hunger Games : Critical Essays on the Suzanne Collins Trilogy",2018-05-17,Literature,X
PT8895 .F857 2017,"Ibsen, Scandinavia and the Making of a World Drama",2018-05-07,Literature,
QA76.8.I64 M68 2012eb,Moving Data : The iPhone and the Future of Media,2018-05-02,Social Science; Computer Science/IT,X
RA564.9.H65 .R464 2017,The Remedy : Queer and Trans Voices on Health and Health Care,2018-05-23,Social Science; Health,
RC451.4.S7.C655 2016,College Student Mental Health,2018-05-04,Medicine; Education,
RC451.4.S7.C655 2016,College Student Mental Health,2018-05-04,Medicine; Education,
RC451.4.S7.C655 2016,College Student Mental Health,2018-05-04,Medicine; Education,
RC451.4.S7.C655 2016,College Student Mental Health,2018-05-04,Medicine; Education,
RC455.4.N8 L49 2013eb,Nutrition and Mental Health,2018-05-24,Medicine,
RC489.A7 A7675 2012eb,Art Therapy and Health Care,2018-05-24,Medicine,
RJ507.A77 C74 2014eb,Creative Arts and Play Therapy for Attachment Problems,2018-05-30,Medicine,
TR899.R674 2011,The Healthy Edit : Creative Techniques for Perfecting Your Movie,2018-05-08,Fine Arts,
TS1490 .S546 2014eb,Woven Textile Design,2018-05-17,Engineering: Manufacturing; Fine Arts; Engineering,
TX360.E18 F66 2013eb,Food and War in Mid-Twentieth-Century East Asia,2018-05-03,Health; History,X
